,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
105,Bredasdorp,-34.53,20.04,42.8,100,0,3.33,ZA,1592281023
106,Barrow,71.29,-156.79,37.4,86,75,13.87,US,1592281023
107,Port-Cartier,50.03,-66.87,42.8,87,40,7.83,CA,1592281023
108,Kavieng,-2.57,150.8,84.88,72,88,9.31,PG,1592281023
109,Severnyy,50.68,36.55,68.0,49,26,11.18,RU,1592281024
110,Świdnik,51.22,22.7,60.8,93,20,3.36,PL,1592281024
111,Narsaq,60.92,-46.05,41.0,86,100,3.36,GL,1592281024
112,Adamovka,51.52,59.94,66.38,53,7,10.09,RU,1592281024
113,La Palma,33.85,-118.05,66.99,72,1,5.82,US,1592281024
114,Khatanga,71.97,102.5,56.93,38,71,7.25,RU,1592281024
115,Yaguajay,22.33,-79.24,78.93,76,100,1.95,CU,1592280964
116,Saint-Pierre,-21.34,55.48,68.0,72,4,6.93,RE,1592281025
117,Cayenne,4.93,-52.33,77.0,100,92,3.53,GF,1592281025
118,Alekseyevsk,57.84,108.35,56.98,91,100,7.54,RU,1592280471
119,Bam,29.11,58.36,99.93,8,13,15.32,IR,1592281025
120,Peleduy,59.63,112.74,77.29,36,88,6.08,RU,1592281025
121,Naryan-Mar,67.67,53.09,45.32,61,55,13.24,RU,1592281025
122,Olinda,-8.01,-34.86,75.2,94,75,6.93,BR,1592281025
123,La Arena,-5.35,-80.71,67.53,73,3,9.64,PE,1592281026
124,Weligama,5.97,80.42,83.01,83,100,12.44,LK,1592281026
125,Hilo,19.73,-155.09,82.4,58,20,8.05,US,1592280858
126,Port Elizabeth,-33.92,25.57,48.2,100,40,3.36,ZA,1592281026
127,Luanda,-8.84,13.23,71.6,88,75,2.24,AO,1592280772
128,Kahului,20.89,-156.47,84.2,54,40,23.04,US,1592281027
129,Shaunavon,49.65,-108.42,58.44,41,84,6.76,CA,1592281027
130,Aklavik,68.22,-135.01,73.4,31,75,6.93,CA,1592281027
131,Flinders,-34.58,150.86,71.01,47,3,11.99,AU,1592281027
132,Bethel,41.37,-73.41,55.99,87,1,3.36,US,1592281027
133,Borogontsy,62.67,131.17,75.45,36,19,7.05,RU,1592281027
134,Vitim,59.45,112.56,77.36,38,95,6.4,RU,1592281027
135,Mizdah,31.45,12.98,62.71,48,0,5.82,LY,1592281028
136,Ucluelet,48.93,-125.55,55.0,81,100,1.59,CA,1592281028
137,Saravan,39.72,45.65,62.6,72,20,4.7,AM,1592281028
138,Quatre Cocos,-20.21,57.76,71.6,73,40,14.99,MU,1592280757
139,Cidreira,-30.18,-50.21,61.34,89,1,12.95,BR,1592281028
140,Padang,-0.95,100.35,86.92,61,95,4.72,ID,1592281028
141,Vaini,-21.2,-175.2,73.4,69,20,12.75,TO,1592281028
142,Kuala Lumpur,3.14,101.69,87.8,70,20,5.82,MY,1592281010
143,San José de Río Tinto,14.93,-85.7,71.33,90,100,0.87,HN,1592281029
144,Oga,46.46,10.35,48.2,100,75,1.12,IT,1592281029
145,Yar-Sale,66.83,70.83,48.24,65,100,16.22,RU,1592281029
146,Thinadhoo,0.53,72.93,83.89,77,41,11.43,MV,1592280513
147,Norman Wells,65.28,-126.83,62.6,42,75,2.24,CA,1592281029
148,Kushmurun,52.45,64.63,66.33,49,2,13.69,KZ,1592281029
149,Dawei,14.08,98.2,84.61,75,100,9.26,MM,1592281030
150,Tacoma,47.25,-122.44,55.4,76,75,9.17,US,1592281030
151,Grass Valley,39.22,-121.06,66.99,63,40,4.7,US,1592280860
152,Mastic Beach,40.77,-72.85,57.0,93,1,6.82,US,1592281030
153,Filingué,14.35,3.32,93.58,35,17,10.07,NE,1592281030
154,Pevek,69.7,170.31,45.66,69,22,5.64,RU,1592281030
155,Butaritari,3.07,172.79,84.38,74,8,9.86,KI,1592281031
156,Dingle,11.0,122.67,88.74,58,100,11.12,PH,1592281031
157,Yulara,-25.24,130.99,64.4,27,0,13.87,AU,1592280759
158,Port Hardy,50.7,-127.42,51.8,93,75,4.7,CA,1592281031
159,Muravlenko,63.79,74.52,65.35,56,100,21.54,RU,1592281032
160,Shimoda,34.67,138.95,79.0,78,75,9.17,JP,1592281032
161,Sigmaringen,48.08,9.22,57.0,99,100,1.01,DE,1592281032
162,Pandamatenga,-18.53,25.63,48.61,83,0,4.94,BW,1592281032
163,Las Palmas,28.42,-14.01,71.6,88,8,6.93,ES,1592281032
164,High Level,58.52,-117.14,55.4,93,75,4.7,CA,1592281032
165,Bengkulu,-3.8,102.27,87.75,59,20,5.17,ID,1592281032
166,Upernavik,72.79,-56.15,31.6,96,38,12.15,GL,1592281032
167,Stryn,61.9,6.72,55.4,93,33,10.29,NO,1592281033
168,Mahébourg,-20.41,57.7,71.6,73,40,14.99,MU,1592281033
169,Sinnamary,5.38,-52.95,77.76,87,100,4.21,GF,1592281033
170,Amberley,39.2,-84.43,66.99,87,1,3.36,US,1592281033
171,Vardø,70.37,31.11,44.6,69,20,16.11,NO,1592281033
172,Vila Franca do Campo,37.72,-25.43,60.8,77,20,8.05,PT,1592281033
173,Havre-St-Pierre,50.23,-63.6,46.4,87,75,5.82,CA,1592281034
174,Saint George,37.1,-113.58,84.2,17,1,10.29,US,1592280802
175,Klaksvík,62.23,-6.59,51.8,93,88,4.7,FO,1592281034
176,Urusha,54.05,122.9,74.37,26,4,7.36,RU,1592281034
177,Balkanabat,39.51,54.37,86.92,31,14,13.11,TM,1592281034
178,Cachoeira do Sul,-30.04,-52.89,53.92,94,28,4.94,BR,1592281035
179,Khasan,42.43,130.64,66.96,62,63,7.96,RU,1592281035
180,Rawson,-43.3,-65.1,50.05,54,100,20.29,AR,1592281035
181,Sorong,-0.88,131.25,84.22,70,0,5.5,ID,1592281035
182,Taoudenni,22.68,-3.98,95.16,13,0,13.91,ML,1592281035
183,Keuruu,62.27,24.7,64.4,72,42,4.7,FI,1592281035
184,Gigmoto,13.78,124.39,86.72,64,27,5.91,PH,1592281035
185,Necochea,-38.55,-58.74,50.0,92,100,11.01,AR,1592281035
186,Nishifukuma,33.77,130.47,87.01,45,75,10.29,JP,1592281036
187,Yellowknife,62.46,-114.35,48.2,76,90,17.22,CA,1592280851
188,Emerald,-23.53,148.17,73.0,43,40,9.17,AU,1592281036
189,Udaipur,24.57,73.69,87.8,66,20,9.62,IN,1592281036
190,Conde,-7.26,-34.91,73.36,93,25,9.69,BR,1592281036
191,Moroni,-11.7,43.26,74.53,75,19,14.45,KM,1592280816
192,Buala,-8.14,159.59,84.65,70,100,7.54,SB,1592281037
193,Qaanaaq,77.48,-69.36,28.94,94,0,0.6,GL,1592281037
194,Karratha,-20.74,116.85,81.61,29,0,16.37,AU,1592281037
195,Evensk,61.95,159.23,62.28,45,93,7.61,RU,1592281037
196,George Town,5.41,100.34,84.2,83,20,6.93,MY,1592280815
197,Vaitape,-16.52,-151.75,79.65,85,19,16.96,PF,1592281038
198,Kota Kinabalu,5.97,116.07,89.6,70,20,5.82,MY,1592281038
199,Coquimbo,-29.95,-71.34,55.4,82,93,2.24,CL,1592281038
200,Saint-Raymond,45.47,-73.61,62.6,67,20,4.7,CA,1592281038
201,Karlshamn,56.17,14.86,57.2,82,72,4.7,SE,1592281038
202,Kantang,7.41,99.52,82.4,88,20,4.7,TH,1592281038
203,Fendou,46.65,124.87,84.0,38,26,10.11,CN,1592281038
204,Magadan,59.57,150.8,59.2,49,0,10.22,RU,1592281038
205,Lavrentiya,65.58,-171.0,52.59,55,13,4.85,RU,1592281039
206,Kirakira,-10.45,161.92,84.67,71,98,12.73,SB,1592281039
207,Meulaboh,4.14,96.13,78.73,88,100,7.36,ID,1592281039
208,Stornoway,58.21,-6.39,55.99,93,92,3.36,GB,1592281039
209,Carutapera,-1.2,-46.02,76.1,94,41,6.44,BR,1592281039
210,Chokurdakh,70.63,147.92,78.73,30,97,7.18,RU,1592281039
211,Progreso,21.28,-89.67,81.0,88,75,4.7,MX,1592281039
212,Doha,25.29,51.53,100.4,24,98,11.41,QA,1592280838
213,Jieshi,22.81,115.83,85.17,73,1,11.34,CN,1592281040
214,Suleja,9.18,7.18,72.64,93,100,0.81,NG,1592280788
215,Emporia,38.4,-96.18,77.0,61,1,6.93,US,1592281040
216,Korla,41.76,86.15,86.13,14,1,7.78,CN,1592281040
217,Saint-Joseph,-21.37,55.62,68.0,72,30,6.93,RE,1592281040
218,Moerai,-22.43,-151.33,70.99,71,100,25.7,PF,1592281041
219,Okato,-39.2,173.88,57.99,86,99,8.99,NZ,1592281041
220,Kiryat Gat,31.61,34.76,71.01,82,0,0.43,IL,1592280961
221,Cherskiy,68.75,161.3,78.64,24,2,2.3,RU,1592281041
222,Fengcheng,40.45,124.07,80.38,40,37,4.74,CN,1592281041
223,Northam,51.03,-4.22,57.0,96,36,1.99,GB,1592281041
224,Nikolskoye,59.7,30.79,68.0,77,5,1.1,RU,1592281042
225,Vostok,46.49,135.88,49.78,99,100,1.99,RU,1592281042
226,Azángaro,-14.92,-70.22,39.65,75,93,1.05,PE,1592281042
227,Chabahar,25.29,60.64,86.88,77,100,8.75,IR,1592281042
228,Darnah,32.77,22.64,71.4,77,0,13.8,LY,1592280443
229,Berdigestyakh,62.1,126.7,72.45,41,27,6.33,RU,1592281042
230,Aitape,-3.14,142.35,85.03,68,90,5.37,PG,1592281042
231,Surgut,61.25,73.42,62.6,59,84,11.18,RU,1592281042
232,Margate,51.38,1.39,59.0,99,0,1.01,GB,1592281043
233,Salalah,17.02,54.09,86.0,84,75,1.12,OM,1592281043
234,Kulhudhuffushi,6.62,73.07,84.74,78,97,17.72,MV,1592281043
235,Andros,37.83,24.93,75.0,67,0,5.01,GR,1592281043
236,San Vicente,-26.62,-54.13,61.66,93,0,3.94,AR,1592281043
237,Bairiki Village,1.33,172.98,87.8,66,20,6.93,KI,1592281043
238,Hualmay,-11.1,-77.61,62.06,85,65,7.45,PE,1592281044
239,Verkhoyansk,67.54,133.38,78.4,29,14,17.36,RU,1592281044
240,Arrondissement du Havre,49.58,0.33,59.0,87,45,4.7,FR,1592281037
241,Sørland,67.67,12.69,47.59,77,90,11.79,NO,1592281044
242,Amahai,-3.33,128.92,82.31,79,6,10.0,ID,1592280484
243,Seoul,37.57,126.98,82.4,51,40,4.7,KR,1592280867
244,Mossamedes,-15.2,12.15,69.8,54,0,3.27,AO,1592280747
245,Nicoya,10.15,-85.45,76.89,91,100,1.48,CR,1592280902
246,Moura,38.14,-7.45,55.4,87,32,6.93,PT,1592281045
247,Kupang,-10.17,123.58,91.4,49,40,20.8,ID,1592281045
248,Sistranda,63.73,8.83,53.6,100,90,1.12,NO,1592281045
249,Portland,45.52,-122.68,59.0,54,75,6.93,US,1592280972
250,Cabo San Lucas,22.89,-109.91,89.6,29,5,15.14,MX,1592280971
251,Tual,-5.67,132.75,81.52,78,23,22.26,ID,1592281045
252,Yangi Marg`ilon,40.43,71.72,80.6,34,0,4.7,UZ,1592281046
253,Cedar City,37.68,-113.06,73.4,15,1,10.29,US,1592280773
254,Djebeniana,35.03,10.91,68.0,72,0,4.7,TN,1592281046
255,Bella Vista,36.43,-94.23,78.8,65,1,6.93,US,1592280887
256,Gold Coast,-28.0,153.43,75.0,60,75,12.75,AU,1592280907
257,Pisco,-13.7,-76.22,64.4,82,90,2.24,PE,1592281046
258,Fianarantsoa,-21.43,47.08,49.28,99,42,2.8,MG,1592281047
259,Namatanai,-3.67,152.43,84.81,68,67,8.43,PG,1592281047
260,Burns Lake,54.23,-125.75,56.17,49,43,7.58,CA,1592280337
261,Sisimiut,66.94,-53.67,40.3,70,97,4.03,GL,1592281047
262,Kushima,31.46,131.23,80.6,88,40,5.82,JP,1592281047
263,São Filipe,14.9,-24.5,76.3,79,9,1.95,CV,1592281047
264,Olafsvik,64.89,-23.71,45.81,76,25,17.0,IS,1592281047
265,Canchungo,12.07,-16.03,80.6,94,100,2.24,GW,1592281048
266,Ponta do Sol,32.67,-17.1,69.8,83,75,8.05,PT,1592281048
267,Talnakh,69.49,88.4,42.8,93,90,20.13,RU,1592281048
268,Chaozhou,23.67,116.64,89.6,62,40,4.47,CN,1592281048
269,Placerville,38.73,-120.8,69.01,55,1,5.82,US,1592280858
270,Hambantota,6.12,81.12,87.8,79,75,16.11,LK,1592281049
271,Urdoma,61.75,48.54,67.26,58,33,8.08,RU,1592281049
272,Turukhansk,65.82,87.98,54.79,43,90,15.48,RU,1592280507
273,Itaberá,-23.86,-49.14,57.31,95,2,7.9,BR,1592281049
274,Bathsheba,13.22,-59.52,80.6,74,40,20.8,BB,1592281049
275,College,64.86,-147.8,62.6,77,75,11.41,US,1592281049
276,Sherlovaya Gora,50.57,116.25,81.01,26,0,2.04,RU,1592281049
277,Mitsamiouli,-11.38,43.28,76.6,73,0,16.15,KM,1592281050
278,Worland,44.02,-107.96,73.99,18,1,10.29,US,1592280804
279,Coyhaique,-45.58,-72.07,33.8,83,100,4.7,CL,1592281050
280,San Cristobal,7.77,-72.22,67.66,79,99,2.93,VE,1592281050
281,Geraldton,-28.77,114.6,69.8,32,0,17.22,AU,1592281050
282,Ionia,42.99,-85.07,62.01,63,1,5.82,US,1592281050
283,Christchurch,-43.53,172.63,69.8,49,0,9.17,NZ,1592280848
284,Province of Mantua,45.17,10.78,66.0,95,100,5.01,IT,1592281051
285,Te Anau,-45.42,167.72,52.9,86,100,6.26,NZ,1592281051
286,Yanam,16.73,82.22,86.0,74,90,3.36,IN,1592281051
287,Lianran,24.92,102.48,68.0,82,75,17.9,CN,1592281051
288,Bud,39.45,-86.18,64.99,85,0,6.13,US,1592281051
289,Genhe,50.78,121.52,77.74,33,62,6.55,CN,1592281051
290,Jacareacanga,-6.22,-57.75,73.45,83,23,0.51,BR,1592281052
291,Linhares,-19.39,-40.07,67.6,97,21,3.96,BR,1592281023
292,Aleksandrovsk-Sakhalinskiy,50.9,142.16,52.7,68,96,11.59,RU,1592281052
293,Marsaxlokk,35.84,14.54,68.0,88,0,11.41,MT,1592281052
294,Altamira,-3.2,-52.21,74.03,90,58,0.45,BR,1592281052
295,Naze,28.37,129.48,84.2,79,75,14.99,JP,1592281052
296,Nova Viçosa,-17.89,-39.37,75.81,77,89,13.35,BR,1592281053
297,Tabory,58.52,64.55,68.32,59,28,5.7,RU,1592281053
298,Kolyshley,52.7,44.54,62.01,79,45,6.67,RU,1592281053
299,Veracruz,19.33,-96.67,82.0,78,40,6.93,MX,1592280871
300,Viedma,-40.81,-63.0,47.91,53,100,10.54,AR,1592281053
301,Nouadhibou,20.93,-17.03,84.2,45,13,21.92,MR,1592281053
302,Sechura,-5.56,-80.82,66.31,78,3,10.4,PE,1592281053
303,Macia,-25.03,33.1,58.53,89,88,7.7,MZ,1592281054
304,Hudiksvall,61.73,17.1,63.88,70,0,6.96,SE,1592280246
305,Sibolga,1.74,98.78,87.28,58,100,3.71,ID,1592281054
306,Guerrero Negro,27.98,-114.06,63.27,87,0,14.14,MX,1592281054
307,Harrison,30.41,-89.04,78.8,78,40,4.7,US,1592281057
308,Obo,5.4,26.49,66.38,97,0,2.26,CF,1592281058
309,Ayan,56.45,138.17,50.4,66,90,3.98,RU,1592281058
310,Lorengau,-2.02,147.27,85.08,73,100,10.92,PG,1592281058
311,Strezhevoy,60.73,77.59,60.8,59,18,8.95,RU,1592281058
312,Wuwei,37.93,102.64,71.01,51,100,8.39,CN,1592281058
313,Ambilobe,-13.2,49.05,69.4,85,99,3.78,MG,1592281058
314,Gillette,44.29,-105.5,71.6,43,1,20.8,US,1592280509
315,Pangnirtung,66.15,-65.71,34.09,89,100,2.01,CA,1592281059
316,Lüderitz,-26.65,15.16,65.1,25,0,25.88,NA,1592281059
317,Nishihara,26.18,127.76,87.8,84,75,11.41,JP,1592281059
318,Caravelas,-17.71,-39.25,75.9,76,100,10.89,BR,1592281059
319,Toora-Khem,52.47,96.11,66.11,35,10,5.17,RU,1592281059
320,Prince Rupert,54.32,-130.32,55.4,76,75,3.36,CA,1592281060
321,Vilhena,-12.74,-60.15,67.1,81,5,2.42,BR,1592280763
322,Gushikawa,26.35,127.87,87.8,84,75,16.11,JP,1592281060
323,Tasiilaq,65.61,-37.64,37.4,86,39,4.7,GL,1592281060
324,Mayumba,-3.43,10.66,71.13,91,41,1.81,GA,1592281060
325,Sola,-13.88,167.55,80.8,78,100,23.87,VU,1592281060
326,Tshela,-4.98,12.93,69.98,91,80,1.1,CD,1592281060
327,Adrar,20.5,-10.07,95.61,15,0,18.23,MR,1592281060
328,Ostrovskoye,57.81,42.24,62.64,78,5,4.99,RU,1592280522
329,Maracaibo,10.63,-71.64,81.61,82,100,6.87,VE,1592280888
330,Hvide Sande,56.0,8.13,53.01,83,0,3.4,DK,1592281061
331,Hobyo,5.35,48.53,80.17,68,68,23.49,SO,1592281061
332,Marabu,4.41,114.01,86.0,79,75,5.82,MY,1592281061
333,Charagua,-19.8,-63.22,63.36,78,0,7.61,BO,1592281061
334,Galway,53.27,-9.05,55.4,100,90,5.82,IE,1592280967
335,Mayor Pablo Lagerenza,-19.93,-60.77,67.75,75,0,6.93,PY,1592281062
336,Berlevåg,70.86,29.09,41.0,75,75,17.22,NO,1592281062
337,Departamento de Maldonado,-34.67,-54.92,57.0,88,61,5.01,UY,1592281062
338,Tarauacá,-8.16,-70.77,72.14,86,40,1.12,BR,1592281062
339,Port Hedland,-20.32,118.57,86.0,20,0,13.87,AU,1592280908
340,Ntcheu,-14.82,34.64,50.29,90,3,5.48,MW,1592281062
341,Bulembu,-25.97,31.13,55.4,71,24,3.49,SZ,1592281063
342,Pak Phanang,8.35,100.2,89.6,70,20,4.7,TH,1592281063
343,Bambous Virieux,-20.34,57.76,71.6,73,40,14.99,MU,1592281063
344,São João da Barra,-21.64,-41.05,69.64,82,100,14.03,BR,1592281063
345,Santiago del Estero,-27.8,-64.26,58.93,59,27,7.45,AR,1592281063
346,Mehamn,71.04,27.85,41.0,75,75,17.22,NO,1592281063
347,Provideniya,64.38,-173.3,57.2,58,70,8.95,RU,1592281064
348,Znamensk,48.58,45.73,71.58,37,0,16.71,RU,1592281064
349,The Pas,53.83,-101.25,62.6,59,1,6.93,CA,1592281064
350,Mount Isa,-20.73,139.5,77.0,38,14,9.17,AU,1592281064
351,Tilichiki,60.47,166.1,53.22,58,30,9.1,RU,1592281064
352,Grand Gaube,-20.01,57.66,70.0,74,88,5.99,MU,1592281064
353,Ol'ga,43.74,135.29,60.93,69,90,3.06,RU,1592281064
354,Mindelo,16.89,-24.98,80.6,65,0,6.93,CV,1592281064
355,Chernyshevskiy,63.01,112.47,64.98,36,30,6.64,RU,1592280268
356,Alikalia,9.17,-11.4,72.7,97,99,3.38,SL,1592281065
357,Dakar,14.69,-17.44,78.8,94,99,6.93,SN,1592280800
358,Hirara,24.8,125.28,87.8,79,40,19.46,JP,1592281065
359,Aranos,-24.13,19.12,37.85,63,0,8.79,NA,1592281065
360,Gornopravdinsk,60.05,69.9,67.5,58,28,6.78,RU,1592281065
361,Pozhva,59.09,56.08,63.61,68,65,6.24,RU,1592281066
362,Esperance,-33.87,121.9,60.8,59,90,12.75,AU,1592280903
363,Praia,14.92,-23.51,78.8,88,20,3.36,CV,1592280780
364,Tazovsky,67.47,78.7,43.39,96,100,14.7,RU,1592281066
365,Bafoulabé,13.81,-10.83,81.55,62,84,2.28,ML,1592281066
366,Solnechnyy,50.72,136.63,49.33,74,100,8.86,RU,1592281066
367,Hushitai,41.93,123.51,82.4,34,0,6.71,CN,1592281066
368,Codrington,-38.27,141.97,59.04,70,87,17.16,AU,1592281066
369,Camden,39.78,-74.97,59.0,87,100,7.09,US,1592280819
370,Zhigansk,66.77,123.37,60.24,71,97,21.45,RU,1592281067
371,Dunedin,-45.87,170.5,59.0,63,17,1.99,NZ,1592280918
372,Lata,40.16,-8.33,61.0,90,81,0.43,PT,1592281067
373,Grindavik,63.84,-22.43,44.6,87,40,14.99,IS,1592281067
